Customer Id,YearOfObservation,Insured_Period,Residential,Building_Painted,Building_Fenced,Garden,Settlement,Building Dimension,Building_Type,Date_of_Occupancy,NumberOfWindows,Geo_Code,Claim
H14663,2013,1,1,N,V,V,U,290,1,1960,NULL,1053,0
H2037,2015,4,1,V,N,O,R,490,2,1950,4,1053,0
H3802,2014,1,0,N,V,V,U,595,3,1945,NULL,1053,1
H3834,2013,2,0,V,V,V,U,2840,1,1960,NULL,1053,0
H5053,2014,1,0,V,N,O,R,680,4,1800,3,1053,0
H6272,2013,3,0,N,V,V,U,290,1,1960,NULL,1053,0
H7491,2015,1,1,V,N,O,R,490,2,1700,4,1053,0
H8710,2014,4,0,N,V,V,U,595,3,1960,NULL,1053,1
H9929,2013,1,0,V,V,V,U,2840,1,1850,NULL,1053,0
H11148,2014,5,1,V,N,O,R,680,4,1800,3,1053,0
H12367,2013,1,0,N,V,V,U,290,1,1960,NULL,1053,0
H13586,2015,2,0,V,N,O,R,490,2,1680,4,1053,0
H14805,2014,1,1,N,V,V,U,595,3,1960,NULL,1053,1
H16024,2013,2,0,V,V,V,U,2840,1,1960,NULL,1053,0
H17243,2014,1,1,V,N,O,R,680,4,1800,3,1053,0
H18462,2013,1,1,N,V,V,U,290,1,1960,NULL,1053,0
H19681,2015,4,1,V,N,O,R,490,2,1950,4,1053,0
H20900,2014,1,0,N,V,V,U,595,3,2000,NULL,1053,1
H22119,2013,2,0,V,V,V,U,2840,1,1960,NULL,1053,0
H23338,2014,1,0,V,N,O,R,680,4,1800,3,1053,0
H24557,2013,3,0,N,V,V,U,290,1,1960,NULL,1053,0
H25776,2015,1,1,V,N,O,R,490,2,2010,4,1053,0
H26995,2014,4,0,N,V,V,U,595,3,1960,NULL,1053,1
H28214,2013,1,0,V,V,V,U,2840,1,1850,NULL,1053,0
H29433,2014,5,1,V,N,O,R,680,4,1800,3,1053,0
H30652,2013,1,0,N,V,V,U,290,1,1960,NULL,1053,0
H31871,2015,2,0,V,N,O,R,490,2,2000,4,1053,0
H33090,2014,1,1,N,V,V,U,595,3,1960,NULL,1053,1
H34309,2013,2,0,V,V,V,U,2840,1,1960,NULL,1053,0
H35528,2014,1,1,V,N,O,R,680,4,1800,3,1053,0
