Customer Id,YearOfObservation,Insured_Period,Residential,Building_Painted,Building_Fenced,Garden,Settlement,Building Dimension,Building_Type,Date_of_Occupancy,NumberOfWindows,Geo_Code
H11920,2013,1,0,V,N,O,R,300,1,1960,3,3310
H11921,2016,0.997268,0,V,N,O,R,300,1,1960,3,3310
H9805,2013,0.369863,1,V,V,V,U,790,1,1960,.,3310
H7493,2014,1,1,V,N,O,R,1405,1,2004,3,3321
H7494,2016,1,1,V,N,O,R,1405,1,2004,3,332
H7495,2013,1,0,V,N,O,R,300,1,1960,3,3310
H7496,2016,0.987968,1,V,N,O,R,300,1,1960,3,3310
H7497,2013,0.369464,0,V,V,V,U,790,1,1960,.,3310
H7498,2014,1,0,V,N,O,R,1405,1,2004,3,3321
H7499,2016,1,1,V,N,O,R,1405,1,2004,3,332
H7500,2013,1,1,V,N,O,R,300,1,1960,3,3310
H7501,2016,0.797268,1,V,N,O,R,300,1,1960,3,3310
H7502,2013,0.969863,1,V,V,V,U,790,1,1960,.,3310
H7503,2014,1,0,V,N,O,R,1405,1,2004,3,3321
H7504,2016,1,0,V,N,O,R,1405,1,2004,3,332
H11920,2018,1,0,V,N,O,R,300,1,1960,3,3310
H11921,2020,0.997268,0,V,N,O,R,300,1,1960,3,3310
H9805,2013,0.369863,1,V,V,V,U,790,1,1960,.,3310
H7493,2014,1,1,V,N,O,R,1405,1,2004,3,3321
H7494,2012,1,1,V,N,O,R,1405,1,2004,3,332
H7495,2013,1,0,V,N,O,R,300,1,1960,3,3310
H7496,2016,0.987968,1,V,N,O,R,300,1,1960,3,3310
H7497,2015,0.369464,1,V,V,V,U,790,1,1960,.,3310
H7498,2014,1,1,V,N,O,R,1405,1,2004,3,3321
H7499,2016,1,0,V,N,O,R,1405,1,2004,3,332
H7500,2013,1,0,V,N,O,R,300,1,1960,3,3310
H7501,2020,0.797268,1,V,N,O,R,300,1,1960,3,3310
H7502,2013,0.969863,1,V,V,V,U,790,1,1960,.,3310
H7503,2014,1,1,V,N,O,R,1405,1,2004,3,3321
H7504,2023,1,0,V,N,O,R,1405,1,2004,3,332
H11920,2013,1,0,V,N,O,R,300,1,1960,3,3310
H11921,2016,0.997268,1,V,N,O,R,300,1,1960,3,3310
H9805,2013,0.369863,1,V,V,V,U,790,1,1960,.,3310
H7493,2014,1,1,V,N,O,R,1405,1,2004,3,3321
H7494,2012,1,0,V,N,O,R,1405,1,2004,3,332
H7495,2013,1,0,V,N,O,R,300,1,1960,3,3310
H7496,2012,0.987968,0,V,N,O,R,300,1,1960,3,3310
H7497,2013,0.369464,0,V,V,V,U,790,1,1960,.,3310
H7498,2014,1,0,V,N,O,R,1405,1,2004,3,3321
H7499,2016,1,0,V,N,O,R,1405,1,2004,3,332
H7500,2013,1,0,V,N,O,R,300,1,1960,3,3310
H7501,2016,0.797268,0,V,N,O,R,300,1,1960,3,3310
H7502,2013,0.969863,0,V,V,V,U,790,1,1960,.,3310
H7503,2014,1,1,V,N,O,R,1405,1,2004,3,3321
H7504,2016,1,0,V,N,O,R,1405,1,2004,3,332
H11920,2013,1,0,V,N,O,R,300,1,1960,3,3310
H11921,2016,0.997268,0,V,N,O,R,300,1,1960,3,3310
H9805,2013,0.369863,0,V,V,V,U,790,1,1960,.,3310
H7493,2014,1,0,V,N,O,R,1405,1,2004,3,3321
H7494,2016,1,1,V,N,O,R,1405,1,2004,3,332
H7495,2013,1,1,V,N,O,R,300,1,1960,3,3310
H7496,2016,0.987968,1,V,N,O,R,300,1,1960,3,3310
H7497,2013,0.369464,0,V,V,V,U,790,1,1960,.,3310
H7498,2014,1,0,V,N,O,R,1405,1,2004,3,3321
H7499,2016,1,0,V,N,O,R,1405,1,2004,3,332
H7500,2013,1,0,V,N,O,R,300,1,1960,3,3310
H7501,2016,0.797268,0,V,N,O,R,300,1,1960,3,3310
H7502,2013,0.969863,1,V,V,V,U,790,1,1960,.,3310
H7503,2014,1,0,V,N,O,R,1405,1,2004,3,3321
H7504,2016,1,0,V,N,O,R,1405,1,2004,3,332
